timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740008021.3503706	0	300	6457697.36698244	6234310.79679102	6234310.79679102
1740008024.0832765	1	300	6425000.737804665	6148898.431760701	6148898.431760701
1740008026.9038765	2	300	6392967.56401688	6172519.202149825	6148898.431760701
1740008029.7995672	3	300	6355596.008458725	6157640.856525004	6148898.431760701
1740008032.6421573	4	300	6333112.100325127	6131005.269901784	6131005.269901784
1740008035.711512	5	300	6306414.57581812	6081873.441521852	6081873.441521852
1740008038.9243371	6	300	6290704.684256197	6081873.441521852	6081873.441521852
1740008042.4273458	7	300	6277848.120353708	6070521.708987276	6070521.708987276
1740008045.7070942	8	300	6267950.300992676	6067048.791647209	6067048.791647209
1740008048.5938752	9	300	6270349.828740455	6093916.196322128	6067048.791647209
1740008052.167719	10	300	6276997.1461094385	6043431.644224019	6043431.644224019
1740008055.1809769	11	300	6265878.639538616	6043431.644224019	6043431.644224019
1740008058.2621844	12	300	6260599.7482867595	6025134.64544508	6025134.64544508
1740008061.2972443	13	300	6245774.181214756	5937079.408688584	5937079.408688584
1740008064.556969	14	300	6231450.121216257	6053829.248328232	5937079.408688584
1740008068.0815244	15	300	6219064.142946154	5983854.518301934	5937079.408688584
1740008071.3648891	16	300	6215279.868065568	5983854.518301934	5937079.408688584
1740008074.5538263	17	300	6212486.963975633	6015494.184911705	5937079.408688584
1740008077.7774765	18	300	6190031.217817498	5990410.385166404	5937079.408688584
1740008081.2529423	19	300	6171579.057701508	5964430.793324017	5937079.408688584
1740008084.4684126	20	300	6145977.844063802	5987190.663194914	5937079.408688584
1740008088.1350772	21	300	6122369.8394391015	5997516.7110064095	5937079.408688584
1740008091.5464976	22	300	6104833.306579708	5982548.693935061	5937079.408688584
1740008094.7414978	23	300	6078474.688509258	5955468.182820652	5937079.408688584
1740008098.0449438	24	300	6054483.716915675	5955468.182820652	5937079.408688584
1740008101.1533036	25	300	6041209.517259248	5930602.136809463	5930602.136809463
1740008104.0532446	26	300	6032907.228412539	5914718.912593156	5914718.912593156
1740008107.254983	27	300	6019823.483018038	5868493.835321528	5868493.835321528
1740008110.9664745	28	300	6003101.685989763	5868493.835321528	5868493.835321528
1740008114.2385695	29	300	5989970.273755984	5846167.972344053	5846167.972344053
1740008117.2695038	30	300	5987304.073605826	5850530.7653802335	5846167.972344053
1740008120.4746745	31	300	5978728.7500803815	5844287.409082197	5844287.409082197
1740008124.1315947	32	300	5973117.820535083	5829374.053849472	5829374.053849472
1740008127.398734	33	300	5963917.000536101	5828235.955119531	5828235.955119531
1740008130.7167628	34	300	5960936.822685317	5786943.326908124	5786943.326908124
1740008133.5194783	35	300	5952312.656190025	5823314.7063873205	5786943.326908124
1740008136.3502018	36	300	5959307.562278606	5825069.911297213	5786943.326908124
1740008139.1913714	37	300	5958888.195299173	5775586.875314084	5775586.875314084
1740008142.2858002	38	300	5959759.8694363795	5775586.875314084	5775586.875314084
1740008145.7052813	39	300	5966593.077635143	5811290.411280527	5775586.875314084
1740008149.112965	40	300	5953284.441684624	5765366.194831259	5765366.194831259
1740008152.6499171	41	300	5940739.89100981	5790763.668769301	5765366.194831259
1740008156.043724	42	300	5926401.781897515	5801974.974720246	5765366.194831259
1740008159.2388465	43	300	5932958.892422783	5777254.228256753	5765366.194831259
1740008162.2963576	44	300	5937259.325436375	5758366.208984573	5758366.208984573
1740008165.8271806	45	300	5936885.522192252	5738817.06806085	5738817.06806085
1740008169.0111763	46	300	5942127.226776204	5736723.233581525	5736723.233581525
1740008171.8919084	47	300	5939747.882885581	5736723.233581525	5736723.233581525
1740008174.7458608	48	300	5934026.0325313425	5720147.818112921	5720147.818112921
1740008177.8684878	49	300	5917745.1843475755	5720147.818112921	5720147.818112921
1740008181.624814	50	300	5919403.4434889965	5720147.818112921	5720147.818112921
1740008185.1370099	51	300	5895191.571237327	5720147.818112921	5720147.818112921
1740008188.6460803	52	300	5882395.203824323	5728577.310294439	5720147.818112921
1740008191.9421127	53	300	5863331.604793697	5705508.809736552	5705508.809736552
1740008195.2000532	54	300	5860806.70912626	5724074.667354354	5705508.809736552
1740008198.459622	55	300	5831443.477702599	5710287.214283728	5705508.809736552
1740008201.6408997	56	300	5803764.209814559	5682952.97444226	5682952.97444226
1740008205.0971906	57	300	5768615.878780998	5697775.940835559	5682952.97444226
1740008208.4674833	58	300	5743809.118382774	5678887.346654183	5678887.346654183
1740008211.8988733	59	300	5726045.327687686	5667358.403015388	5667358.403015388
1740008215.3245804	60	300	5720573.331229338	5663465.806063989	5663465.806063989
1740008218.725201	61	300	5713570.364526264	5644589.611020444	5644589.611020444
1740008222.305055	62	300	5711301.860169412	5635634.196100565	5635634.196100565
1740008225.3767323	63	300	5707172.607179025	5643419.890169499	5635634.196100565
1740008228.8099463	64	300	5698284.478485782	5628148.245865995	5628148.245865995
1740008232.1646662	65	300	5693791.863155625	5620432.675950863	5620432.675950863
1740008235.5719209	66	300	5687924.573819284	5612537.527047854	5612537.527047854
1740008239.5343084	67	300	5685502.754296223	5602150.482881839	5602150.482881839
1740008243.5544336	68	300	5684655.509442554	5598071.473288068	5598071.473288068
1740008247.6110206	69	300	5677161.231404955	5583065.294508906	5583065.294508906
1740008251.3147674	70	300	5672203.238586838	5598071.473288068	5583065.294508906
1740008255.026288	71	300	5665586.374137852	5582544.134224054	5582544.134224054
1740008258.7580478	72	300	5664811.181297552	5582160.056049067	5582160.056049067
1740008262.28389	73	300	5648549.800944464	5571124.009601169	5571124.009601169
1740008265.7371418	74	300	5640608.291800596	5566680.096495589	5566680.096495589
