timestamp,generation,population_size,avg_fitness,generation_best,current_best
1739792495.3412035,0,100,29811.00022571601,24463.146362448097,24463.146362448097
1739792495.3433146,0,118,29716.919441151353,25478.485816821492,24463.146362448097
1739792495.3455496,1,137,29768.209507301384,25478.485816821492,24463.146362448097
1739792495.3479667,2,153,29746.589075699114,25478.485816821492,24463.146362448097
1739792495.350332,3,169,29509.299721914493,25478.485816821492,24463.146362448097
1739792495.3527706,4,180,29399.075374787622,25478.485816821492,24463.146362448097
1739792495.3553238,5,193,29574.561444586012,25478.485816821492,24463.146362448097
1739792495.3578343,6,200,29516.09388510257,24913.674876673318,24463.146362448097
1739792495.3604124,7,212,29558.429710240627,24913.674876673318,24463.146362448097
1739792495.3630848,8,223,29520.02026486022,24602.457832625896,24463.146362448097
1739792495.3657336,9,235,29571.319845795915,24913.674876673318,24463.146362448097
1739792495.3684278,10,245,29543.366908732554,24913.674876673318,24463.146362448097
1739792495.3712153,11,255,29519.89213196502,25770.61522353716,24463.146362448097
1739792495.3740337,12,264,29586.830798740884,25770.61522353716,24463.146362448097
1739792495.3769023,13,270,29679.327446063893,25823.776477013867,24463.146362448097
1739792495.3798852,14,280,29745.290166700357,25853.31574649249,24463.146362448097
1739792495.3828123,15,284,29757.893343799937,25756.77676340988,24463.146362448097
1739792495.3857934,16,295,29649.381976886023,25756.77676340988,24463.146362448097
1739792495.3888547,17,299,29779.189233752604,25756.77676340988,24463.146362448097
1739792495.391923,18,309,29724.838169187307,25756.77676340988,24463.146362448097
1739792495.3950653,19,317,29721.884346338655,25756.77676340988,24463.146362448097
1739792495.3982162,20,319,29632.56301349741,25756.77676340988,24463.146362448097
1739792495.4013844,21,324,29637.040944689004,26223.607981355355,24463.146362448097
1739792495.404601,22,327,29623.592798388447,26126.526985474033,24463.146362448097
1739792495.4078271,23,338,29632.89470626923,26126.526985474033,24463.146362448097
1739792495.4111218,24,345,29746.471554255415,25410.770183284814,24463.146362448097
1739792495.4144833,25,352,29690.815911774334,25133.623665110754,24463.146362448097
1739792495.4180148,26,356,29691.703799902403,25133.623665110754,24463.146362448097
1739792495.4214032,27,368,29747.16430190627,25133.623665110754,24463.146362448097
1739792495.424853,28,374,29736.635830660245,25133.623665110754,24463.146362448097
1739792495.4283328,29,380,29663.391617503938,25133.623665110754,24463.146362448097
1739792495.4318607,30,387,29621.376444134803,25133.623665110754,24463.146362448097
